DATE      | Violations 
10/2017|6347
09/2017|44546
08/2017|47207
07/2017|48203
06/2017|48024
05/2017|45972
04/2017|41283
03/2017|46857
02/2017|43579
01/2017|42782
12/2016|48468
11/2016|53704
10/2016|58558
09/2016|61379
08/2016|61689
07/2016|65418
06/2016|60345
05/2016|55937
04/2016|48312
03/2016|46522
02/2016|38303
01/2016|37813
12/2015|40046
11/2015|38110
10/2015|42530
09/2015|43880
08/2015|47045
07/2015|47922
06/2015|44126
05/2015|42906
04/2015|36482
03/2015|34821
02/2015|31836
01/2015|35068
12/2014|37050
11/2014|37356
10/2014|39654
09/2014|45995
08/2014|51819
07/2014|55173
